refrigerant,Te_C,COP,q_e_Jkg,Qdot_kW_fixed_mdot,w_comp_Jkg
R1234yf,-40.0,1.487400628752388,89418.1737242406,0.8941817372424059,60117.07403891807
R1234yf,-38.0,1.565011503402385,90767.48984543208,0.9076748984543208,57997.96975811402
R1234yf,-36.0,1.647378345559193,92116.54408936753,0.9211654408936752,55917.05411066278
R1234yf,-34.0,1.7349100493675502,93465.04599366625,0.9346504599366625,53873.13655122253
R1234yf,-32.0,1.8280643843412971,94812.70067108117,0.9481270067108116,51865.07733711187
R1234yf,-30.0,1.9273555229695392,96159.20819467623,0.9615920819467624,49891.785427589726
R1234yf,-28.0,2.0333630024452054,97504.26295230535,0.9750426295230535,47952.21651768638
R1234yf,-26.0,2.1467424496219984,98847.55295632899,0.9884755295632899,46045.37119659333
R1234yf,-24.0,2.2682384875130963,100188.75908573027,1.0018875908573026,44170.29321972997
R1234yf,-22.0,2.3987003590371745,101527.55422879462,1.0152755422879463,42326.06788350473
R1234yf,-20.0,2.539100959555162,102863.60228707272,1.0286360228707272,40511.82049298816
R1234yf,-18.0,2.690560178546937,104196.55699761366,1.0419655699761365,38726.714915511024
R1234yf,-16.0,2.854373733332136,105526.06053262812,1.0552606053262812,36969.95221765834
R1234yf,-14.0,3.032049064142961,106851.74184546553,1.0685174184546553,35240.76938895718
R1234yf,-12.0,3.225350394291599,108173.21474967679,1.081732147496768,33538.438161983155
R1234yf,-10.0,3.4363558074010165,109490.07574306728,1.0949007574306728,31862.26394462824
R1234yf,-8.0,3.6675302550882876,110801.90161851284,1.1080190161851284,30211.58488462027
R1234yf,-6.0,3.9218199358379673,112108.24693389246,1.1210824693389245,28585.771087916743
R1234yf,-4.0,4.202775717973433,113408.64143987911,1.134086414398791,26984.224010546168
R1234yf,-2.0,4.514716597587575,114702.58758146843,1.1470258758146843,25406.376037592127
R1234yf,0.0,4.862949206478256,115989.55819279022,1.1598955819279022,23851.690253781155
R1234yf,2.0,5.254067149652776,117268.99449229907,1.1726899449229906,22319.660398715874
R1234yf,4.0,5.696366224846955,118540.30445648366,1.1854030445648367,20809.810987822944
R1234yf,6.0,6.2004314670467995,119802.86160672709,1.198028616067271,19321.69756950607
R1234yf,8.0,6.7799851120281724,121056.00419000795,1.2105600419000795,17854.90708161675
R1234yf,10.0,7.45314159292013,122299.03467539724,1.2229903467539724,16409.058267666784
R1234ze(E),-40.0,1.5968946854966546,108819.83281511866,1.0881983281511867,68144.6521197948
R1234ze(E),-38.0,1.6768506451694791,110249.09712884144,1.1024909712884143,65747.71429193002
R1234ze(E),-36.0,1.7616224296482481,111677.63532084163,1.1167763532084163,63394.7623743306
R1234ze(E),-34.0,1.8516273487385022,113105.1230852569,1.131051230852569,61084.17180288164
R1234ze(E),-32.0,1.9473381083703105,114531.2370028437,1.145312370028437,58814.253421401314
R1234ze(E),-30.0,2.0492771762645994,115955.6542797091,1.1595565427970909,56583.68502940721
R1234ze(E),-28.0,2.158032656624278,117378.05243703438,1.1737805243703439,54391.23086331977
R1234ze(E),-26.0,2.274269937262103,118798.10895235895,1.1879810895235894,52235.71177983162
R1234ze(E),-24.0,2.3987447962809347,120215.50085296709,1.202155008529671,50116.00276917819
R1234ze(E),-22.0,2.5323192681056916,121629.90426186298,1.2162990426186298,48031.03060257033
R1234ze(E),-20.0,2.6759809713289857,123040.99389671785,1.2304099389671785,45979.77161086141
R1234ze(E),-18.0,2.830866812882241,124448.44252204383,1.2444844252204381,43961.24959172378
R1234ze(E),-16.0,2.9982922699332897,125851.92035468353,1.2585192035468353,41974.533842720964
R1234ze(E),-14.0,3.1797878431879805,127251.09442252119,1.2725109442252118,40018.73731768917
R1234ze(E),-12.0,3.377144817784919,128645.6278761244,1.286456278761244,38093.01490378595
R1234ze(E),-10.0,3.592473227492848,130035.17925286782,1.3003517925286783,36196.561816444795
R1234ze(E),-8.0,3.8282759953834904,131419.40169299493,1.3141940169299493,34328.61210933415
R1234ze(E),-6.0,4.087544774657343,132797.942107109,1.32797942107109,32488.437296259683
R1234ze(E),-4.0,4.3738852794294,134170.44029475382,1.3417044029475382,30675.34508181183
R1234ze(E),-2.0,4.691683263863158,135536.52801398234,1.3553652801398235,28888.678197423927
R1234ze(E),0.0,5.04632740904081,136895.82800184633,1.3689582800184632,27127.813339378044
R1234ze(E),2.0,5.444513260328979,138247.95294503385,1.3824795294503385,25392.16020509432
R1234ze(E),4.0,5.894664818808331,139592.5043975598,1.395925043975598,23681.16062378249
R1234ze(E),6.0,6.407530585445024,140929.07163738343,1.4092907163738344,21994.287777183577
R1234ze(E),8.0,6.9970445151876755,142257.2304449709,1.422572304449709,20331.045505883172
R1234ze(E),10.0,7.681600230825312,143576.54177358397,1.4357654177358397,18690.96769673447
R1234ze(Z),-40.0,1.7987444040232132,150044.73472013584,1.5004473472013582,83416.37332382187
R1234ze(Z),-38.0,1.8814362956666406,151395.84192406278,1.5139584192406277,80468.22646759846
R1234ze(Z),-36.0,1.9690128169733976,152748.6920224907,1.527486920224907,77576.28122364549
R1234ze(Z),-34.0,2.0618964528262826,154103.14529004073,1.5410314529004074,74738.54716555163
R1234ze(Z),-32.0,2.16056057478831,155459.05847883908,1.554590584788391,71953.11267496902
R1234ze(Z),-30.0,2.265537112516357,156816.28504565053,1.5681628504565053,69218.14883512235
R1234ze(Z),-28.0,2.3774257458865344,158174.67532278676,1.5817467532278677,66531.90981735749
R1234ze(Z),-26.0,2.49690494513731,159534.0766427505,1.595340766427505,63892.73126053158
R1234ze(Z),-24.0,2.624745282775314,160894.33342434608,1.608943334243461,61299.02755905595
R1234ze(Z),-22.0,2.761825565242709,162255.2872262729,1.622552872262729,58749.28861121391
R1234ze(Z),-20.0,2.909152495414729,163616.7767728844,1.636167767728844,56242.076354116725
R1234ze(Z),-18.0,3.067884794158958,164978.63795576178,1.6497863795576178,53776.021273637714
R1234ze(Z),-16.0,3.239363002097656,166340.7038139353,1.663407038139353,51349.81899411121
R1234ze(Z),-14.0,3.425146582599696,167702.80449493285,1.6770280449493284,48962.227002748
R1234ze(Z),-12.0,3.627060499634897,169064.7671982928,1.690647671982928,46612.06153448805
R1234ze(Z),-10.0,3.847254217476725,170426.4161027215,1.7042641610272151,44298.19462632184
R1234ze(Z),-8.0,4.088277166117775,171787.57227766784,1.7178757227766785,42019.55134093738
R1234ze(Z),-6.0,4.3531762945734505,173148.05357972262,1.731480535797226,39775.107154645724
R1234ze(Z),-4.0,4.645623640906765,174507.6745339179,1.745076745339179,37563.88550232543
R1234ze(Z),-2.0,4.970085276580953,175866.24619968006,1.7586624619968005,35384.95547115902
R1234ze(Z),0.0,5.332048174836103,177223.57602090648,1.7722357602090648,33237.429634880216
R1234ze(Z),2.0,5.738329576914877,178579.46765936355,1.7857946765936357,31120.462020477746
R1234ze(Z),4.0,6.197506113238367,179933.7208103613,1.799337208103613,29033.24619979132
R1234ze(Z),6.0,6.720520492288117,181286.1309994471,1.8128613099944713,26975.01349895075
R1234ze(Z),8.0,7.32155782936566,182636.489358675,1.82636489358675,24945.031319174683
R1234ze(Z),10.0,8.01934261359286,183984.58238085694,1.8398458238085695,22942.60156300111
R1233zd(E),-40.0,1.7745603744617322,134769.28401118828,1.3476928401118828,75945.16701189562
R1233zd(E),-38.0,1.8574271160800189,136120.66080821157,1.3612066080821157,73284.52332250081
R1233zd(E),-36.0,1.9452039474327203,137476.9757041439,1.374769757041439,70674.83894713764
R1233zd(E),-34.0,2.0383152652416348,138837.96700002745,1.3883796700002744,68114.07899825973
R1233zd(E),-32.0,2.1372361749943667,140203.37250637918,1.4020337250637918,65600.31789970462
R1233zd(E),-30.0,2.2425002942967964,141572.92988662104,1.4157292988662105,63131.73302437202
R1233zd(E),-28.0,2.3547090425384605,142946.37699019097,1.4294637699019097,60706.598738029075
R1233zd(E),-26.0,2.474542757976538,144323.452172449,1.4432345217244902,58323.28081914573
R1233zd(E),-24.0,2.6027740758487647,145703.89459867563,1.4570389459867563,55980.2312273921
R1233zd(E),-22.0,2.740284122842326,147087.44452966776,1.4708744452966775,53675.9831958969
R1233zd(E),-20.0,2.8880822447974266,148473.84358665344,1.4847384358665345,51409.14662458567
R1233zd(E),-18.0,3.047330396914884,149862.83499347375,1.4986283499347375,49178.40059128305
R1233zd(E),-16.0,3.2193863655575536,151254.16379421958,1.5125416379421959,46982.29619545041
R1233zd(E),-14.0,3.4058218676474468,152647.57704473552,1.5264757704473553,44819.60095880646
R1233zd(E),-12.0,3.6084663186522317,154042.82397664074,1.5404282397664073,42689.27859472885
R1233zd(E),-10.0,3.8294744896235393,155439.6561327362,1.5543965613273623,40590.33597270859
R1233zd(E),-8.0,4.071402177543755,156837.82747288523,1.5683782747288524,38521.82138574781
R1233zd(E),-6.0,4.337304022494519,158237.0944496514,1.5823709444965142,36482.82288467395
R1233zd(E),-4.0,4.630861421829306,159637.21605317228,1.5963721605317227,34472.46667772485
R1233zd(E),-2.0,4.9565519294521065,161037.9538249109,1.6103795382491088,32489.915593946353
R1233zd(E),0.0,5.319876734298554,162439.07184008937,1.6243907184008939,30534.36760908476
R1233zd(E),2.0,5.727670857741896,163840.33665873707,1.6384033665873707,28605.05443277693
R1233zd(E),4.0,6.188533426923919,165241.5172454062,1.652415172454062,26701.240155947802
R1233zd(E),6.0,6.713435991774621,166642.38485770152,1.666423848577015,24822.219957391964
R1233zd(E),8.0,7.3166012047520095,168042.71290384486,1.6804271290384485,22967.318868589413
