T_C,T_K,P_Pa,h_liq_Jkg,h_vap_Jkg,s_liq_JkgK,s_vap_JkgK
-75.0,198.14999999999998,8004.275551213412,112304.83079726553,313337.25028091535,627.6462726149009,1642.1932088209567
-73.19444444444444,199.95555555555552,9083.359351575855,114221.11824362302,314507.3251286455,637.2694264978811,1638.923173926573
-71.38888888888889,201.7611111111111,10280.900693177775,116146.0382977947,315681.6970608395,646.8486041096916,1635.8185202925908
-69.58333333333333,203.56666666666666,11606.72016280361,118079.66936384731,316860.1679271084,656.3849412828323,1632.8734104434811
-67.77777777777777,205.3722222222222,13071.149589267725,120022.08983437686,318042.538325672,665.8795399156605,1630.0822344151543
-65.97222222222223,207.17777777777775,14685.037205168905,121973.37784968698,319228.6079046019,675.3334685728777,1627.4395907077546
-64.16666666666667,208.9833333333333,16459.751677957596,123933.61111489577,320418.17563418794,684.7477631050157,1624.9402729804399
-62.361111111111114,210.78888888888886,18407.18504241103,125902.86676256942,321611.04004459595,694.1234273076797,1622.579259875491
-60.55555555555556,212.59444444444443,20539.754566559335,127881.221252154,322806.9994249281,703.4614336324179,1620.3517065339736
-58.75,214.39999999999998,22870.40358444229,129868.7503000695,324005.8519813302,712.7627239546104,1618.2529370300485
-56.94444444444444,216.20555555555552,25412.60133140348,131865.52883614952,325207.3959529887,722.0282103991955,1616.2784373200639
-55.138888888888886,218.0111111111111,28180.341820610676,133871.63098335572,326411.4296857919,731.2587762219588,1614.4238485027026
-53.33333333333333,219.81666666666666,31188.14180284465,135887.1300585016,327617.75166413526,740.4552767421244,1612.6849602918994
-51.52777777777778,221.6222222222222,34451.03785508938,137912.09859226047,328826.1605018905,749.6185403208584,1611.057704657904
-49.72222222222222,223.42777777777775,37984.582646898285,139946.60836705434,330036.4548939492,758.7493693797443,1609.538149617977
-47.91666666666667,225.2333333333333,41804.84043675728,141990.73047163902,331248.4335300502,767.8485414531832,1608.1224931702664
-46.111111111111114,227.03888888888886,45928.38185361429,144044.53537133505,332461.89497280517,776.9168102688682,1606.8070573695761
-44.30555555555556,228.84444444444443,50372.278021319406,146108.09299295556,333676.6375020003,785.954906850837,1605.5882825458289
-42.5,230.64999999999998,55154.09408588606,148181.4728235649,334892.4589273746,794.9635406401268,1604.4627216668323
-40.69444444444444,232.45555555555552,60291.882207224844,150264.74402230646,336109.1563721934,803.9434006286357,1603.427034847353
-38.888888888888886,234.2611111111111,65804.17407832982,152357.9755446111,337326.52603004756,812.895156502412,1602.4779840068243
-37.083333333333336,236.06666666666663,71709.97303584598,154461.23627823655,338544.3628974373,821.8194597913092,1601.612427678351
-35.27777777777778,237.8722222222222,78028.74582655943,156574.59519071103,339762.46048480575,830.7169450226347,1600.8273159719554
-33.47222222222222,239.67777777777775,84780.41409468628,158698.1214879067,340980.6105087418,839.588230877186,1600.1196856950053
-31.666666666666664,241.48333333333332,91985.3456549699,160831.8847836416,342198.6025679778,848.433921346871,1599.486655632203
-29.861111111111107,243.28888888888886,99664.3456165837,162975.95528040951,343416.223805445,857.2546068939071,1598.925421985851
-28.055555555555557,245.09444444444443,107838.64742277343,165130.40396152207,344633.25855785643,866.0508656124109,1598.4332539738177
-26.25,246.89999999999998,116529.90387110299,167295.30279516542,345849.48799288727,874.8232643939682,1598.0074895771265
-24.444444444444443,248.70555555555552,125760.17817916618,169470.72495106203,347064.6897318918,883.5723600994667,1597.6455314209625
-22.638888888888886,250.5111111111111,135551.93516066342,171656.74503058524,348278.63745316654,892.2987007399691,1597.344842762158
-20.833333333333336,252.31666666666663,145928.03257680775,173853.43931130046,349491.10046715615,901.0028266696938,1597.1029435434202
-19.02777777777778,254.1222222222222,156911.71272796675,176060.88600690608,350701.84325097303,909.685271794141,1596.917406461013
-17.22222222222222,255.92777777777775,168526.594350129,178279.1655435027,351910.62492568465,918.3465647958297,1596.7858529802727
-15.416666666666664,257.7333333333333,180796.66487990622,180508.36085286117,353117.19865669427,926.9872303792046,1596.7059492249098
-13.611111111111107,259.5388888888889,193746.27315012363,182748.55768298937,354321.31095601834,935.6077905345696,1596.6754016642487
-11.805555555555557,261.34444444444443,207400.12257531367,184999.84492571212,355522.7008661318,944.2087658187297,1596.6919525300837
-10.0,263.15,221783.26488245494,187262.31496019007,356721.0990089272,952.7906766470782,1596.7533749132274
-8.194444444444443,264.9555555555555,236921.09443698046,189536.0640103193,357916.2264904997,961.354044588406,1596.8574675195578
-6.388888888888886,266.76111111111106,252839.34320768432,191821.19251280327,359107.79366272036,969.8993936497379,1597.0020491047878
-4.583333333333329,268.56666666666666,269564.07640693244,194117.80549143124,360295.498755178,978.4272515344437,1597.1849526530236
-2.7777777777777715,270.3722222222222,287121.68883534765,196426.01293187682,361479.02640477644,986.9381508530556,1597.4040194112563
-0.9722222222222143,272.17777777777775,305538.90195366077,198745.93015032244,362658.04612344515,995.4326302635111,1597.6570929341947
0.8333333333333286,273.9833333333333,324842.76169986534,201077.67814871288,363832.21075517114,1003.9112355166704,1597.9420133247781
2.6388888888888857,275.7888888888889,345060.6370682017,203421.38394981614,365001.15498013876,1012.374520385455,1598.256611869643
4.444444444444443,277.59444444444443,366220.21946890507,205777.1809069503,366164.4939246929,1020.8230474629453,1598.598706261626
6.25,279.4,388349.52289482055,208145.20898673608,367321.8219302588,1029.2573888279078,1598.966096571367
