T_C,T_K,P_Pa,h_liq_Jkg,h_vap_Jkg,s_liq_JkgK,s_vap_JkgK
-75.0,198.14999999999998,6404.686933335481,107374.87919089821,350644.65588870825,606.8744346204879,1834.579585152161
-73.19444444444444,199.95555555555552,7284.399789110821,109370.01597200015,351774.7359319118,616.8939703004102,1829.186966431283
-71.38888888888889,201.7611111111111,8262.869132155847,111376.08869306998,352911.7998137961,626.8774649605879,1824.014562638661
-69.58333333333333,203.56666666666666,9348.524220805011,113393.14630012299,354055.6094396166,636.8257656317654,1819.054993246756
-67.77777777777777,205.3722222222222,10550.255052019511,115421.23647818441,355205.9230660875,646.7396883799311,1814.3011238431382
-65.97222222222223,207.17777777777775,11877.41837446017,117460.40580773288,356362.49592006585,656.6200201372226,1809.7460584427106
-64.16666666666667,208.9833333333333,13339.842750168933,119510.69992461281,357525.08079131827,666.4675204608611,1805.3831319218248
-62.361111111111114,210.78888888888886,14947.832662185778,121572.1636829394,358693.42859407817,676.2829232242586,1801.2059026182344
-60.55555555555556,212.59444444444443,16712.171671555705,123644.84132057788,359867.28889251105,686.0669382438654,1797.2081451061936
-58.75,214.39999999999998,18644.124633081796,125728.7766267385,361046.4103856619,695.820252844754,1793.383843138484
-56.94444444444444,216.20555555555552,20755.438984815002,127824.01311129663,362230.5413480044,705.5435333675744,1789.727182739482
-55.138888888888886,218.0111111111111,23058.34513160632,129930.59417547355,363419.4300222768,715.2374266191223,1786.2325454312013
-53.33333333333333,219.81666666666666,25565.555948056033,132048.5632835364,364612.8249618878,724.9025612685524,1782.894501574948
-51.52777777777778,221.6222222222222,28290.265430852305,134177.96413523555,365810.47532078763,734.5395491910526,1779.7078038135185
-49.72222222222222,223.42777777777775,31246.146534781547,136318.84083873793,367012.1310893056,744.1489867607105,1776.6673806016754
-47.91666666666667,225.2333333333333,34447.348230600306,138471.23808384713,368217.5432750455,753.7314560942034,1773.76832981567
-46.111111111111114,227.03888888888886,37908.49182647663,140635.20131535345,369426.46402849606,763.2875262469565,1771.0059124354646
-44.30555555555556,228.84444444444443,41644.66659782865,142810.7769064106,370638.64671354176,772.81775436343,1768.3755462959348
