T_C,T_K,P_Pa,h_liq_Jkg,h_vap_Jkg,s_liq_JkgK,s_vap_JkgK
-75.0,198.14999999999998,5477.716577592346,105165.27304487974,351909.4315131583,596.1296247924453,1841.3688802467886
-73.19444444444444,199.95555555555552,6291.701334416002,107340.65170050423,353030.16979209887,607.0556350996028,1835.7762745885777
-71.38888888888889,201.7611111111111,7205.159952353407,109519.95376921482,354154.3589383693,617.9026239326271,1830.397954781755
-69.58333333333333,203.56666666666666,8227.443464977327,111703.30058680054,355281.7773391429,628.6725651738321,1825.2264054506093
-67.77777777777777,205.3722222222222,9368.483608970004,113890.80824374665,356412.1980441958,639.3673525294539,1820.2543642988917
-65.97222222222223,207.17777777777775,10638.804560777764,116082.58829393108,357545.38912233367,649.9888057033556,1815.474812061621
-64.16666666666667,208.9833333333333,12049.533489863341,118278.74840394146,358681.1140372344,660.5386760198885,1810.8809631239317
-62.361111111111114,210.78888888888886,13612.409908506806,120479.39294897638,359819.13203754614,671.0186515527588,1806.4662567381101
-60.55555555555556,212.59444444444443,15339.793807109449,122684.62356071905,360959.1985559391,681.4303618106902,1802.2243487743817
-58.75,214.39999999999998,17244.672572606618,124894.53963205896,362101.06561174913,691.7753820252761,1798.1491039454747
-56.94444444444444,216.20555555555552,19340.666695820884,127109.23878309858,363244.4822118879,702.0552370816347,1794.2345884494725
-55.138888888888886,218.0111111111111,21642.034281336244,129328.81729248111,364389.1947448005,712.2714051282235,1790.4750629799494
-53.33333333333333,219.81666666666666,24163.674380698856,131553.37049771074,365534.9473624488,722.4253208984454,1786.8649760568553
-51.52777777777778,221.6222222222222,26921.129176426373,133782.99316782074,366681.4823455445,732.5183787733428,1783.398957636028
-49.72222222222222,223.42777777777775,29930.585050410704,136017.77985147608,367828.54044757906,742.5519356116903,1780.0718129595443
-47.91666666666667,225.2333333333333,33208.872575822046,138257.82520332077,368975.86121355183,752.5273133712165,1776.8785166133248
-46.111111111111114,227.03888888888886,36773.46547657024,140503.22429119024,370123.1832697,762.4458015423085,1773.814206762455
-44.30555555555556,228.84444444444443,40642.47860274668,142754.07288657175,371270.24458095373,772.3086594135526,1770.874179538548
-42.5,230.64999999999998,44834.66497429177,145010.46774056536,372416.7826732787,782.117118186549,1768.053883557082
-40.69444444444444,232.45555555555552,49369.411948408546,147272.50684741806,373562.53481850703,791.8723829558653,1765.3489145460394
-38.888888888888886,234.2611111111111,54266.73656901089,149540.28969757335,374707.2381796879,801.5756345685552,1762.7550100702651
-37.083333333333336,236.06666666666663,59547.28015878242,151813.91752208024,375850.6299154073,811.228031376342,1760.2680443387553
-35.27777777777778,237.8722222222222,65232.30221625154,154093.49353008813,376992.44724192086,820.8307108925059,1757.8840230846217
-33.47222222222222,239.67777777777775,71343.6736817066,156379.12314108756,378132.42745229177,830.3847913644565,1755.5990785096242
-31.666666666666664,241.48333333333332,77903.86963680356,158670.9142134729,379270.30789206154,839.8913732721555,1753.4094642870868
-29.861111111111107,243.28888888888886,84935.96150340575,160968.9772709706,380405.8258912468,849.3515407617332,1751.3115506185493
-28.055555555555557,245.09444444444443,92463.60880756771,163273.42572841322,381538.7186527006,858.7663630230323,1749.3018193408163
-26.25,246.89999999999998,100511.05057466931,165584.37611832473,382668.7230970461,868.1368956192115,1747.3768590810232
-24.444444444444443,248.70555555555552,109103.09642157266,167901.94831976693,383795.5756645371,877.4641817760447,1745.5333604580803
